Relatedly ^np+++??+=Relatedly,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
groups ^nns++++=groups
were ^vbd+bed+vrb++=were
also ^rb++++=also
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
comment ^nn+nom+++=comment
on ^in++++=on
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
effective ^jj+atrb+++=effective
care ^nn++++=care
co ^nn++++=co-ordination,
- ^zz++++=EXTRAWORD
ordination ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
this ^dt+dem+++=this
theme ^nn++++=theme
emerging ^vwbg+++xvbg+=emerging
in ^in++++=in
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
of ^in++++=of
complaints ^nns++++=complaints
from ^in++++=from
the ^ati++++=the
over ^rb++++=over
5 ^zz++++=5
years ^nns++++=years
group ^nn++++=group,
, ^zz++++=EXTRAWORD
12 ^cd++++=12%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
1 ^zz++++=1-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
years ^nns++++=years
group ^nn++++=group,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
in ^in++++=in
the ^ati++++=the
under ^in++++=under
1 ^zz++++=1
year ^nn++++=year
group ^nn++++=group.
. ^zz++++=EXTRAWORD
