Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
results ^nns++++=results
show ^vb+vprv+++=show
that ^tht+vcmp+++=that
increasing ^jj+atrb++xvbg+=increasing
deductibles ^nns+++??+=deductibles
reduced ^vwbn+++xvbn+=reduced
the ^ati++++=the
probability ^nn+nom+++=probability
of ^in++++=of
mental ^jj+atrb+++=mental
health ^nn++++=health
care ^nn++++=care
use ^nn++++=use
at ^rb++++=at
the ^ati++++=the
transition ^nn+nom+++=transition
to ^in++++=to
adulthood ^nn+nom+++=adulthood
by ^in++++=by
13.6 ^cd++++=13.6%
% ^zz++++=EXTRAWORD
for ^in++++=for
females ^nns++++=females
( ^zz++++=(
13.6 ^cd++++=13.6%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
22.1 ^cd++++=22.1%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
5.2% ^cd++++=5.2%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
5.3 ^cd++++=5.3%
% ^zz++++=EXTRAWORD
for ^in++++=for
males ^nns++++=males
( ^zz++++=(
5.3 ^cd++++=5.3%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
11.8 ^cd++++=11.8%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1.2% ^cd++++=1.2%).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
reduction ^nn+nom+++=reduction
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger
among ^in++++=among
females ^nns++++=females
in ^in++++=in
the ^ati++++=the
lowest ^jjt++++=lowest
( ^zz++++=(
18.9 ^cd+date+++=18.9%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
35.4 ^cd++++=35.4%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2.3 ^cd++++=2.3%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
second ^od++++=second
lowest ^jjt++++=lowest
( ^zz++++=(
21.3 ^cd++++=21.3%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
95 ^cd++++=95%:
% ^zz++++=EXTRAWORD
: ^zz++++=EXTRAWORD
36.7 ^cd++++=36.7%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
5.9 ^cd++++=5.9%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
income ^nn++++=income
quartiles ^nns+++??+=quartiles.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
find ^vb+vprv+++=find
increased ^jj+atrb++xvbn+=increased
treatment ^nn+nom+++=treatment
cessation ^nn+nom+++=cessation
in ^in++++=in
high ^jj+atrb+++=high
deductible ^jj+atrb+++=deductible
years ^nns++++=years
to ^to++++=to
happen ^vbi+v+++=happen
across ^in+pl+++=across
all ^abn++++=all
levels ^nns++++=levels
of ^in++++=of
mental ^jj+atrb+++=mental
health ^nn++++=health
care ^nn++++=care
need ^nn++++=need.
. ^zz++++=EXTRAWORD
