Motivated ^vpsv++by+xvbn+=Motivated
by ^in++++=by
the ^ati++++=the
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
understand ^vb+vprv+++=understand
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
modals ^nn++++=modals
in ^in++++=in
critical ^jj+atrb+++=critical
policy ^nn++++=policy
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
begins ^vbz++++=begins
with ^in++++=with
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
pertinent ^jj+atrb+++=pertinent
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
allow ^vb++++=allow
modals ^nn++++=modals
to ^to++++=to
inform ^vbi++++=inform
the ^ati++++=the
restrictiveness ^nns+nom+++=restrictiveness
and ^cc++++=and
permissiveness ^nns+nom+++=permissiveness
of ^in++++=of
a ^at++++=a
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
then ^rn+tm+++=then
summarizes ^vbz++++=summarizes
the ^ati++++=the
evolution ^nn+nom+++=evolution
of ^in++++=of
Us ^pp1o+pp1+++=US
opioid ^jj+atrb++??+=opioid
crisis ^nn++++=crisis
and ^cc++++=and
policies ^nns++++=policies.
. ^zz++++=EXTRAWORD
Next ^ap++++=Next,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
work ^nn++++=work
uses ^vbz++++=uses
corpus ^nn++++=corpus-assisted
- ^zz++++=EXTRAWORD
assisted ^vprf+++xvbn+=EXTRAWORD
discourse ^nn++++=discourse
analyses ^nns++++=analyses
to ^to++++=to
examine ^vbi++++=examine
California ^np++++=California
statutes ^nns++++=statutes
concerning ^in++++=concerning
opioids ^nns+++??+=opioids.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
findings ^nns++++=findings
and ^cc++++=and
its ^pp$+it+++=its
implications ^nns+nom+++=implications
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
to ^to++++=to
identify ^vbi++++=identify
how ^wrb+who+++=how
this ^dt+dem+++=this
study ^nn++++=study
could ^md+pos+++=could
inform ^vb++++=inform
policy ^nn++++=policy
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
