Friginal ^np+nom++??+=Friginal
and ^cc++++=and
Hardy ^np++++=Hardy
( ^zz++++=(2020,
2020 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
2 ^zz++++=2)
) ^zz++++=EXTRAWORD
underscored ^jj+++xvbn+=underscored
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
going ^nn++++=going
beyond ^in++++=beyond
the ^ati++++=the
findings ^nns++++=findings
and ^cc++++=and
patterns ^nns++++=patterns
of ^in++++=of
corpus ^nn++++=corpus
data ^nns++++=data
and ^cc++++=and
offering ^vbg+++xvbg+=offering
new ^jj+atrb+++=new
knowledge ^nn++++=knowledge
by ^in++++=by
providing ^xvbg+++xvbg+=providing
an ^at++++=an
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
findings ^nns++++=findings
and ^cc++++=and
answering ^vbg+++xvbg+=answering
the ^ati++++=the
question ^nn+nom+++=question:
: ^zz++++=EXTRAWORD
so ^ql++++=So
what ^wdt+who+++=what?
? ^zz++++=EXTRAWORD
