Methodologically ^np+++??+=Methodologically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
example ^nn++++=example
shows ^vbz+vprv+++=shows
that ^dt+dem+++=that
integrating ^vbg+++xvbg+=integrating
corpus ^nn++++=corpus
analysis ^nn++++=analysis
with ^in++++=with
micro ^nn+++??+=micro-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
goes ^vbz++++=goes
one ^cd1++++=one
step ^nn++++=step
further ^jjb++++=further
than ^in++++=than
keyword ^nn++++=keyword
analysis ^nn++++=analysis
to ^to++++=to
provide ^vbi+vsua+++=provide
insights ^nns++++=insights
into ^in++++=into
users ^nns++++=users
language ^nn+nom+++=language
practices ^nns++++=practices
through ^in++++=through
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
co ^nn++++=co-construct
- ^zz++++=EXTRAWORD
construct ^vb++++=EXTRAWORD
their ^pp$+pp3+++=their
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
Importantly ^rb+cnj+++=Importantly,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
shows ^vbz+vprv+++=shows
how ^wrb+who+whcl++=how
different ^jj+atrb+++=different
keywords ^nns+++??+=keywords
are ^vb+ber+aux++=are
combined ^vpsv++agls+xvbnx+=combined
to ^to++++=to
realize ^vbi+vprv+++=realize
a ^at++++=a
language ^nn+nom+++=language
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
the ^ati++++=the
same ^ap++++=same
language ^nn+nom+++=language
practices ^nns++++=practices
are ^vb+ber+aux++=are
employed ^vpsv++agls+xvbnx+=employed
repeatedly ^rb++++=repeatedly
within ^in++++=within
one ^cd1++++=one
thread ^nn++++=thread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
the ^ati++++=the
language ^nn+nom+++=language
practices ^nns++++=practices
impact ^nn++++=impact
users ^nns++++=users
interactions ^nns+nom+++=interactions
as ^in++++=as
their ^pp$+pp3+++=their
discussion ^nn++++=discussion
evolves ^vbz++++=evolves,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
case ^nn++++=case
as ^ql++++=as
two ^cd++++=two
users ^nns++++=users
with ^in++++=with
opposing ^xvbg+++xvbg+=opposing
views ^nns++++=views
come ^vb++++=come
to ^in++++=to
an ^at++++=an
agreement ^nn+nom+++=agreement.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
possible ^jj+pred+++=possible
if ^cs+cnd+++=if
each ^dt++++=each
keyword ^nn++++=keyword
was ^vbd+bedz+vrb++=was
only ^ap+down+++=only
analysed ^jj+++xvbn+=analysed
independently ^rb++++=independently
and ^cc+cls+++=and
if ^cs+cnd+++=if
only ^rb+down+++=only
restricted ^vbd+++xvbn+=restricted
context ^nn++++=context
is ^vbz+bez+aux++=is
examined ^vpsv++agls+xvbnx+=examined
during ^in++++=during
concordance ^nn+nom+++=concordance
reading ^vwbg+++xvbg+=reading.
. ^zz++++=EXTRAWORD
The ^ati++++=The
micro ^nn+++??+=micro-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
enriches ^nns+++??+=enriches
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
the ^ati++++=the
keyword ^nn++++=keyword
analysis ^nn++++=analysis
as ^ql++++=as
it ^pp3+it+++=it
further ^jjb++++=further
illustrates ^nns+nom+++=illustrates
the ^ati++++=the
language ^nn+nom+++=language
practices ^nns++++=practices
realized ^vwbn+vprv++xvbn+=realized
by ^in++++=by
the ^ati++++=the
keywords ^nns+++??+=keywords
and ^cc++++=and
their ^pp$+pp3+++=their
role ^nn++++=role
in ^in++++=in
users ^nns++++=users
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
combination ^nn+nom+++=combination
of ^in++++=of
corpus ^nn++++=corpus
analysis ^nn++++=analysis
and ^cc++++=and
micro ^nn+++??+=micro-analysis
- ^zz++++=EXTRAWORD
analysis ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
easy ^jj++++=easy
with ^in++++=with
the ^ati++++=the
Cwb ^np+++??+=CWB
tool ^nn++++=tool
that ^tht+rel+subj++=that
allows ^vbz++++=allows
the ^ati++++=the
extending ^nn++++=extending
of ^in++++=of
concordance ^nn+nom+++=concordance
lines ^nns++++=lines
and ^cc++++=and
the ^ati++++=the
grouping ^jj+++xvbg+=grouping
of ^in++++=of
findings ^nns++++=findings
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
unit ^nn++++=unit
of ^in++++=of
analysis ^nn++++=analysis
and ^cc++++=and
variable ^nn++++=variable
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
replies ^nns++++=replies)
) ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
thread ^nn++++=thread
level ^nn++++=level.
. ^zz++++=EXTRAWORD
