The ^ati++++=The
corpus ^nn++++=corpus
was ^vbd+bedz+aux++=was
mounted ^vpsv++agls+xvbnx+=mounted
on ^in++++=on
and ^cc++++=and
analysed ^vprf+++xvbn+=analysed
using ^vbg+++xvbg+=using
Cqpweb ^np+++??+=CQPweb
( ^zz++++=(
Hardie ^np++++=Hardie,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
) ^zz++++=).
. ^zz++++=EXTRAWORD
To ^in++++=To
answer ^nn++++=answer
Research ^nn++++=Research
Question ^nn+nom+++=Question
( ^zz++++=(i.)
i ^pp1a+pp1+++=EXTRAWORD
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
do ^vb+do+aux++=do
satisfaction ^nn+nom+++=satisfaction
rates ^nns++++=rates
compare ^vb++++=compare
across ^in+pl+++=across
patients ^nns++++=patients
with ^in++++=with
differing ^xvbg+++xvbg+=differing
treatment ^nn+nom+++=treatment
durations ^nns+nom+++=durations?
? ^zz++++=EXTRAWORD
, ^zz++++=,
we ^pp1a+pp1+++=we
focused ^vbd+++xvbn+=focused
on ^in++++=on
patients ^nns++++=patients
quantitative ^jj+atrb+++=quantitative
responses ^nns++++=responses,
, ^zz++++=EXTRAWORD
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
scores ^nns++++=scores
between ^in++++=between
0 ^zz++++=0
and ^cc++++=and
10 ^cd++++=10
across ^in+pl+++=across
the ^ati++++=the
treatment ^nn+nom+++=treatment
duration ^nn+nom+++=duration
categories ^nns++++=categories
in ^in++++=in
table ^nn++++=Table
1 ^zz++++=1
. ^zz++++=.
