Developed ^vpsv++by+xvbn+=Developed
by ^in++++=by
Singh ^np++++=Singh
and ^cc++++=and
refined ^vpsv++agls+xvbn+=refined
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Adi ^np+++??+=ADI
uses ^nns++++=uses
17 ^cd++++=17
Census ^nn++++=Census
poverty ^nn++++=poverty,
, ^zz++++=EXTRAWORD
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
housing ^nn++++=housing
and ^cc++++=and
employment ^nn+nom+++=employment
indicators ^nns++++=indicators
to ^to++++=to
measure ^vbi++++=measure
a ^at++++=a
region ^nn++++=region's
's ^vbz+bez+vrb++0=EXTRAWORD
socioeconomic ^jj+atrb+++=socioeconomic
disadvantage ^nn+nom+++=disadvantage
and ^cc++++=and
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
gain ^vb++++=gain
improved ^jj+atrb++xvbn+=improved
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
sociobiological ^jj+atrb+++=sociobiological
mechanisms ^nns+nom+++=mechanisms
that ^tht+rel+obj++=that
underlie ^nn+++??+=underlie
health ^nn++++=health
disparities ^nns+nom+++=disparities
, ^zz++++=,
which ^whp+rel+subj++=which
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
improved ^jj+atrb++xvbn+=improved
therapeutics ^nns++++=therapeutics
and ^cc++++=and
interventions ^nns+nom+++=interventions
( ^zz++++=(
Kind ^np++++=Kind
and ^cc++++=and
Buckingham ^np++++=Buckingham,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Singh ^np++++=Singh,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
Health ^nn++++=Health
systems ^nns++++=systems
and ^cc++++=and
healthcare ^jj+atrb++??+=healthcare
providers ^nns+nom+++=providers
can ^md+pos+++=can
use ^vb++++=use
the ^ati++++=the
Adi ^np+++??+=ADI
to ^in++++=to
target ^nn++++=target
program ^nn+++??+=program
delivery ^nn+nom+++=delivery
by ^in++++=by
geographic ^jj+atrb+++=geographic
location ^nn+nom+++=location
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
greatest ^jjt+atrb+++=greatest
disadvantage ^nn+nom+++=disadvantage.
. ^zz++++=EXTRAWORD
Higher ^jjr++++=Higher
Adi ^np+++??+=ADI
values ^nns++++=values
indicate ^nn+nom+++=indicate
higher ^jjr+atrb+++=higher
levels ^nns++++=levels
of ^in++++=of
disadvantage ^nn+nom+++=disadvantage
in ^in++++=in
a ^at++++=a
region ^nn++++=region
( ^zz++++=(
Kind ^np++++=Kind
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
singh ^np++++=Singh,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003
) ^zz++++=).
. ^zz++++=EXTRAWORD
