Our ^pp$+pp1+++=Our
second ^od++++=second
set ^nn+++xvbn+=set
of ^in++++=of
dependent ^jj+atrb+++=dependent
variables ^nns++++=variables
refer ^vb++++=refer
to ^in++++=to
health ^nn++++=health
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
For ^in++++=For
self ^nn++++=self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
we ^pp1a+pp1+++=we
use ^vb++++=use
a ^at++++=a
standard ^jj++++=standard
ordinal ^jj++++=ordinal
measure ^vb++++=measure
based ^vbd+++xvbn+=based
on ^in++++=on
the ^ati++++=the
question ^nn+nom+++=question,
, ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
you ^pp2+pp2+++=you
say ^vb+vpub+tht0++=say
your ^pp$+pp2+++=your
health ^nn++++=health
is ^vbz+bez+vrb++=is
excellent ^jj+pred+++=excellent,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
good ^jj++++=good,
, ^zz++++=EXTRAWORD
good ^jj++++=good,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
poor ^jj++++=poor?
? ^zz++++=EXTRAWORD
The ^ati++++=The
smaller ^jjr++++=smaller
Fair ^jj+atrb+++=Fair
and ^cc+phrs+++=and
Poor ^jj+atrb+++=Poor
categories ^nns++++=categories
were ^vbd+bed+aux++=were
aggregated ^vpsv++agls+xvbnx+=aggregated.
. ^zz++++=EXTRAWORD
Self ^nn++++=Self-rated
- ^zz++++=EXTRAWORD
rated ^jj+atrb++xvbn+=EXTRAWORD
health ^nn++++=health
is ^vbz+bez+vrb++=is
a ^at++++=a
subjective ^jj+atrb+++=subjective
measure ^nn++++=measure
widely ^rb++++=widely
used ^md"++pmd"++=used
to ^to++++=to
approximate ^nn+nom+++=approximate
overall ^jjb+atrb+++=overall
health ^nn++++=health
status ^nn++++=status
( ^zz++++=(
Fayers ^np++++=Fayers
and ^cc++++=and
Hays ^np+++??+=Hays,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005
) ^zz++++=),
, ^zz++++=EXTRAWORD
including ^in++++=including
in ^in++++=in
migrant ^jj+atrb+++=migrant
health ^nn++++=health
studies ^nns++++=studies
( ^zz++++=(
Kimbro ^np++++=Kimbro
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Lubbers ^nns+nom++??+=Lubbers
and ^cc++++=and
Gijsberts ^np+++??+=Gijsberts,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
encompasses ^vbz++++=encompasses
different ^jj+atrb+++=different
aspects ^nns++++=aspects
of ^in++++=of
physical ^jj+atrb+++=physical
and ^cc+phrs+++=and
mental ^jj+atrb+++=mental
health ^nn++++=health
and ^cc++++=and
is ^vbz+bez+aux++=is
closely ^rb++splt++=closely
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
numerous ^jj++++=numerous
other ^ap++++=other
health ^nn++++=health
measures ^nns++++=measures
( ^zz++++=(
jylh ^np++++=Jylh
, ^zz++++=,
2009 ^cd++++=2009
) ^zz++++=).
. ^zz++++=EXTRAWORD
