Results ^nns++++=Results:
: ^zz++++=EXTRAWORD
Significant ^jj+atrb+++=Significant
negative ^jj+atrb+++=negative
correlations ^nns+nom+++=correlations
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
individual ^jj+atrb+++=individual/community
resilience ^nn+nom+++=resilience
and ^cc++++=and
sense ^nn++++=sense
of ^in++++=of
danger ^nn++++=danger
( ^zz++++=(
0.220 ^nn+++??+=0.220
and ^cc++++=and
0.255 ^nn+++??+=0.255
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001)
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
distress ^nns+nom+++=distress
symptoms ^nns++++=symptoms
( ^zz++++=(0.398
0.398 ^nn+++??+=EXTRAWORD
and ^cc++++=and
0.544 ^nn+++??+=0.544
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001).
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Significant ^jj+atrb+++=Significant
positive ^jj+atrb+++=positive
correlations ^nns+nom+++=correlations
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
size ^nn++++=size,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
difficulties ^nns++++=difficulties
and ^cc++++=and
sense ^nn++++=sense
of ^in++++=of
danger ^nn++++=danger
( ^zz++++=(0.192,
0.192 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
0.117 ^nn+++??+=0.117
and ^cc++++=and
0.244 ^nn+++??+=0.244
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001).
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Gender ^nn++++=Gender
and ^cc++++=and
economic ^jj+atrb+++=economic
difficulties ^nns++++=difficulties
also ^rb++++=also
positively ^rb++++=positively
correlated ^vbd+++xvbn+=correlated
with ^in++++=with
distress ^nns+nom+++=distress
symptoms ^nns++++=symptoms
( ^zz++++=(0.130
0.130 ^nn+++??+=EXTRAWORD
and ^cc++++=and
0.214 ^nn+++??+=0.214
respectively ^rb++++=respectively;
; ^zz++++=EXTRAWORD
p ^zz++++=p
< ^zz++++=<
. ^zz++++=.001).
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Path ^nn++++=Path
analysis ^nn++++=analysis
revealed ^vbd+vprv++xvbn+=revealed
that ^tht+vcmp+++=that
all ^abn++++=all
paths ^nns++++=paths
were ^vbd+bed+vrb++=were
significant ^jj+pred+++=significant
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
. ^zz++++=.008
008 ^nn+++??+=EXTRAWORD
to ^in+strn+++=to
. ^zz++++=.001)
001 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
except ^in++++=except
between ^in++++=between
family ^nn++++=family
income ^nn++++=income
and ^cc++++=and
distress ^nns+nom+++=distress
symptoms ^nns++++=symptoms
( ^zz++++=(p
p ^zz++++=EXTRAWORD
= ^zz++++==
. ^zz++++=.12).
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
seven ^cd++++=seven
predictors ^nns++++=predictors
explained ^vbd+vpub++xvbn+=explained
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
of ^in++++=of
sense ^nn++++=sense
of ^in++++=of
danger ^nn++++=danger
variance ^nn+nom+++=variance
and ^cc++++=and
34 ^cd++++=34%
% ^zz++++=EXTRAWORD
the ^ati++++=the
distress ^nns+nom+++=distress
symptoms ^nns++++=symptoms
variance ^nn+nom+++=variance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
highly ^rb+amp+++=highly
predictive ^jj+atrb+++=predictive
indicators ^nns++++=indicators
were ^vbd+bed+vrb++=were
the ^ati++++=the
two ^cd++++=two
psychological ^jj+atrb+++=psychological
characteristics ^nns++++=characteristics,
, ^zz++++=EXTRAWORD
individual ^jj+atrb+++=individual
resilience ^nn+nom+++=resilience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
well ^rb++++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
Age ^nn++++=Age,
, ^zz++++=EXTRAWORD
gender ^nn++++=gender,
, ^zz++++=EXTRAWORD
community ^nn+nom+++=community
size ^nn++++=size,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
economic ^jj+atrb+++=economic
difficulties ^nns++++=difficulties
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
Covid ^vb+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
further ^jjb++++=further
add ^vb+vpub+++=add
to ^to++++=to
predicting ^vbi++++=predicting
distress ^nns+nom+++=distress,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
community ^nn+nom+++=community
and ^cc++++=and
national ^jj+atrb+++=national
resilience ^nn+nom+++=resilience
do ^vb+do+vrb++=do
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
. ^zz++++=.
