Apparently ^rb+cnj+++=Apparently,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Aan ^np+++??+=AAN
pattern ^nn++++=pattern
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
productive ^jj+pred+++=productive
in ^in++++=in
Oe ^np+++??+=OE,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
one ^cd1++++=one
adjective ^nn++++=adjective
of ^in++++=of
the ^ati++++=the
pair ^nn++++=pair
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
frequently ^rb++++=frequently
non ^&fw++++=non-prototypical.
- ^zz++++=EXTRAWORD
prototypical ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
the ^ati++++=the
constructs ^nn++++=constructs
from ^in++++=from
( ^zz++++=(46)-(48)
46) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
not ^xnot++not++=not
interpreted ^vbd+++xvbn+=interpreted
as ^ql++++=as
an ^at++++=an
asyndetic ^jj+atrb+++=asyndetic
combination ^nn+nom+++=combination
of ^in++++=of
two ^cd++++=two
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
inherited ^vpsv++agls+xvbn+=inherited
from ^in++++=from
a ^at++++=a
more ^rbr++++=more
general ^rb++++=general
An ^at++++=AN
schema ^nn++++=schema,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
mandated ^jj+++xvbn+=mandated
( ^zz++++=(A)AN,
a)an ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
first ^od++++=first
element ^nn+nom+++=element
was ^vbd+bedz+vrb++=was
an ^at++++=an
adjective ^nn++++=adjective-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
modifier ^nn+nom+++=modifier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
A(a)n ^np+++??+=A(A)N,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
second ^od++++=second
element ^nn+nom+++=element
compounded ^vwbn+++xvbn+=compounded
with ^in++++=with
the ^ati++++=the
noun ^nn++++=noun.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^in++++=at
one ^cd1++++=one
point ^nn++++=point
some ^dti++++=some
language ^nn+nom+++=language
users ^nns++++=users
( ^zz++++=(hearers)
hearers ^nns+nom+++=EXTRAWORD
) ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
interpreted ^vprf+++xvbnx+=interpreted
both ^abx++++=both
these ^dt+dem+++=these
modifiers ^nns+nom+++=modifiers
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
adjectival ^jj+atrb+++=adjectival
manner ^nn++++=manner
and ^cc++++=and
construed ^vbd+++xvbn+=construed
( ^zz++++=(46)-(48)
46) ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
( ^zz++++=EXTRAWORD
48 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
involving ^jj+++xvbg+=involving
two ^cd++++=two
hierarchically ^rb++++=hierarchically
ordered ^jj+atrb++xvbn+=ordered
adjectives ^nns++++=adjectives,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus
establishing ^vbg+++xvbg+=establishing
a ^at++++=a
link ^nn++++=link
with ^in++++=with
the ^ati++++=the
asyndetic ^jj+atrb+++=asyndetic
adjectival ^nn+nom+++=adjectival
schema ^nn++++=schema.
. ^zz++++=EXTRAWORD
Bech ^np+++??+=Bech
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=,
also ^rb++++=also
working ^jj+++xvbg+=working
on ^in++++=on
the ^ati++++=the
Ycoe ^np+++??+=YCOE,
, ^zz++++=EXTRAWORD
finds ^vbz+vprv+++=finds
twenty ^cd++++=twenty
cases ^nns++++=cases
of ^in++++=of
Aan ^np+++??+=AAN
where ^wrb+who+++=where
the ^ati++++=the
two ^cd++++=two
adjectives ^nns++++=adjectives
combine ^nn++++=combine
in ^in++++=in
a ^at++++=a
hierarchy ^nn++++=hierarchy,
, ^zz++++=EXTRAWORD
exemplified ^vpsv++by+xvbn+=exemplified
by ^in++++=by
( ^zz++++=(49)
49 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(her
her ^pp$+pp3+++=EXTRAWORD
44 ^cd++++=44).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
