In ^rb++++=In
sum ^rb"++++=sum,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dynamics ^nn++++=dynamics
of ^in++++=of
Oe ^np+++??+=OE
adjectival ^nn+nom+++=adjectival
constructions ^nns+nom+++=constructions
sketched ^vbd+++xvbn+=sketched
in ^in++++=in
this ^dt+dem+++=this
section ^nn+nom+++=section
imply ^vb+vprv+++=imply
that ^tht+vcmp+++=that
change ^nn++++=change
may ^md+pos+++=may
be ^vb+be+aux++=be
generally ^rb+down+splt++=generally
seen ^vpsv++agls+xvbnx+=seen
as ^ql++++=as
the ^ati++++=the
reconfiguration ^nn+nom+++=reconfiguration
of ^in++++=of
links ^nns++++=links
between ^in++++=between
the ^ati++++=the
nodes ^nns++++=nodes
which ^whp+rel+subj++=which
already ^rb++++=already
exist ^vb++++=exist
in ^in++++=in
the ^ati++++=the
network ^nn++++=network.
. ^zz++++=EXTRAWORD
As ^in++++=As
proposed ^nn++++=proposed
by ^in++++=by
Van ^&fw++++=Van
de ^&fw++++=de
Velde ^np+++??+=Velde
( ^zz++++=(2014
2014 ^cd++++=EXTRAWORD
: ^zz++++=:173),
173 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
form ^nn++++=form-function
- ^zz++++=EXTRAWORD
function ^nn+nom+++=EXTRAWORD
changes ^nns++++=changes
involve ^vb++++=involve
strengthening ^nvbg+++xvbg+=strengthening
of ^in++++=of
already ^rb++++=already
available ^jj+atrb+++=available
resources ^nns++++=resources
with ^in++++=with
extension ^nn++++=extension
to ^in++++=to
new ^jj+atrb+++=new
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+aux++=is
schematically ^rb++splt++=schematically
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
Figure ^nn++++=Figure
1 ^zz++++=1
. ^zz++++=.
The ^ati++++=The
diagrams ^nns++++=diagrams
show ^vb+vprv+++=show
the ^ati++++=the
situations ^nns+nom+++=situations
in ^in++++=in
Oe ^np+++??+=OE
and ^cc++++=and
Present ^jj++++=Present-Day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
English ^jj++++=English.
. ^zz++++=EXTRAWORD
Solid ^jj+atrb+++=Solid
lines ^nns++++=lines
and ^cc++++=and
broken ^xvbn+++xvbn+=broken
lines ^nns++++=lines
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^to++++=to
represent ^vb++++=represent
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
weak ^jj+atrb+++=weak
links ^nns++++=links,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
