Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
( ^zz++++=(11)
11 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(12),
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quoted ^xvbn+++xvbn+=quoted
from ^in++++=from
Talmy ^np+++??+=Talmy
( ^zz++++=(2000
2000 ^cd++++=EXTRAWORD
: ^zz++++=:II,
ii ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
46 ^cd++++=46),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
express ^jjb+atrb+++=express
concomitance ^nn+nom+++=concomitance:
: ^zz++++=EXTRAWORD
an ^at++++=an
activity ^nn+nom+++=activity
that ^tht+rel+obj++=that
the ^ati++++=the
Figure ^nn++++=Figure
of ^in++++=of
the ^ati++++=the
Motion ^nn++++=Motion
event ^nn++++=event
additionally ^rb++++=additionally
exhibits ^nns++++=exhibits
[ ^zz++++=[.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
in ^in++++=in
itself ^ppl++++=itself
pertain ^nn+++??+=pertain
to ^in++++=to
the ^ati++++=the
concurrent ^jj+atrb+++=concurrent
Motion ^nn++++=Motion
[ ^zz++++=[.
. ^zz++++=EXTRAWORD
. ^zz++++=.
. ^zz++++=.]
] ^zz++++=EXTRAWORD
and ^cc++++=and
could ^md+pos+++=could
just ^rb+emph+++=just
as ^in++++=as
readily ^rb++++=readily
take ^vb++++=take
place ^nn++++=place
by ^in++++=by
itself ^ppl++++=itself.
. ^zz++++=EXTRAWORD
