Within ^in++++=Within
the ^ati++++=the
Uk ^np++++=UK
Data ^nns++++=Data
Archive ^np+++??+=Archive
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
the ^ati++++=the
most ^ql+emph+++=most
controlled ^jj+atrb++xvbn+=controlled
data ^nns++++=data
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
researchers ^nns+nom+++=researchers
to ^to++++=to
register ^nn+nom+++=register
and ^cc++++=and
also ^rb++++=also
contact ^nn++++=contact
the ^ati++++=the
wisp ^nn++++=WiSP
team ^nn++++=team
to ^in++++=to
request ^nn++++=request
access ^nn++++=access
from ^in++++=from
the ^ati++++=the
team ^nn++++=team.
. ^zz++++=EXTRAWORD
