Although ^cs+con+++=Although
many ^ap++++=many
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
committed ^vpsv++agls+xvbnx+=committed
to ^in++++=to
process ^nns+nom+++=process
evaluations ^nns+nom+++=evaluations,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
ideas ^nns++++=ideas
about ^in++++=about
what ^wdt+who+++=what
these ^dt+dem+++=these
consisted ^jj+++xvbn+=consisted
of ^in++++=of
were ^vbd+bed+vrb++=were
often ^rb++++=often
uncertain ^jj+pred+++=uncertain.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
participant ^nn+nom+++=participant
described ^vbd+++xvbn+=described
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
as ^in++++=as
an ^at++++=an
amorphous ^jj+atrb+++=amorphous
idea ^nn++++=idea
. ^zz++++=.
Another ^dt++++=Another
described ^jj+atrb++xvbn+=described
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
as ^ql++++=as
being ^jj+++xvbg+=being
about ^in++++=about
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
stuff ^nn++++=stuff
beyond ^in++++=beyond
the ^ati++++=the
measurement ^nn+nom+++=measurement
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
outcome ^nn++++=outcome.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
also ^rb++++=also
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
ambiguity ^nn+nom+++=ambiguity
concerning ^in++++=concerning
what ^wdt+who+++=what
specific ^jj+atrb+++=specific
implementation ^nn+nom+++=implementation
outcomes ^vbz+++??+=outcomes
meant ^vbd+vprv++xvbn+=meant
with ^in++++=with
participants ^nns+nom+++=participants
at ^rb++++=at
times ^nns++++=times
mixing ^vwbg+++xvbg+=mixing
up ^rp++++=up
different ^jj++++=different
constructs ^vbz++++=constructs
one ^pn++++=one
with ^in++++=with
another ^dt++++=another
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fidelity ^nn+nom+++=fidelity
as ^in++++=as
dose ^nn++++=dose)
) ^zz++++=EXTRAWORD
or ^cc++++=or
being ^xvbg+++xvbg+=being
confused ^xvbn+++xvbn+=confused
about ^in++++=about
what ^wdt+who+++=what
counts ^vbz++++=counts
as ^ql++++=as
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
and ^cc+cls+++=and
what ^wdt+who+++=what
does ^vbz+doz+vrb++=does
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
don ^npt++++=don
t ^zz++++=t
think ^vb+vprv+tht0++=think
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
[ ^zz++++=[process
process ^nns+nom+++=EXTRAWORD
evaluation ^nn+nom+++=evaluation]
] ^zz++++=EXTRAWORD
a ^at++++=a
fixed ^jj+++xvbn+=fixed
kind ^rb++++=kind
of ^rb"++++=of
entity ^nn++++=entity
with ^in++++=with
its ^pp$+it+++=its
own ^ap++++=own
truth ^nn++++=truth
out ^rp+pl+++=out
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+vrb++=be
that ^dt+dem+++=that
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
libraries ^nns++++=libraries
full ^jj++++=full
out ^rp+pl+++=out
there ^rn+pl+++=there
with ^in++++=with
The ^ati++++=The
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation
and ^cc++++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
specific ^jj+atrb+++=specific
courses ^nns++++=courses
and ^cc++++=and
people ^nns++++=people
get ^vb++++=get
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
The ^ati++++=The
thing ^nn++++=thing
[ ^zz++++=[
] ^zz++++=]
but ^cs+sub+++=but
that ^cs"++++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
my ^pp$+pp1+++=my,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
how ^wrb+who+++=how
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
working ^vbg+++xvbgx+=working
with ^in++++=with
process ^nns+nom+++=process
evaluation ^nn+nom+++=evaluation.
. ^zz++++=EXTRAWORD
For ^in++++=For
me ^pp1o+pp1+++=me,
