Although ^cs+con+++=Although
scientific ^jj+atrb+++=scientific
research ^nn++++=research
articles ^nns++++=articles
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
much ^ap++++=much
scrutiny ^nn++++=scrutiny
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
formulaic ^jj+atrb+++=formulaic
language ^nn+nom+++=language
use ^nn++++=use,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
often ^rb++splt++=often
treated ^vpsv++agls+xvbnx+=treated
as ^ql++++=as
a ^at++++=a
specific ^jj+atrb+++=specific
genre ^nn++++=genre
in ^in++++=in
its ^pp$+it+++=its
entirety ^nn++++=entirety.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Biber ^np+++??+=Biber
and ^cc++++=and
Conrad ^np++++=Conrad
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest,
, ^zz++++=EXTRAWORD
even ^rb++++=even
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
genre ^nn++++=genre,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
can ^md+pos+++=can
be ^vb+be+vrb++=be
more ^ql++++=more
specialised ^jj+atrb++xvbn+=specialised
registers ^nns+nom+++=registers
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
text ^nn++++=text
varieties ^nns++++=varieties)
) ^zz++++=EXTRAWORD
characterising ^jj+++xvbg+=characterising
the ^ati++++=the
constituent ^jj+atrb+++=constituent
sections ^nns+nom+++=sections
with ^in++++=with
different ^jj+atrb+++=different
communicative ^jj+atrb+++=communicative
purposes ^nns++++=purposes.
. ^zz++++=EXTRAWORD
Hitherto ^rb+cnj+++=Hitherto,
, ^zz++++=EXTRAWORD
little ^ap++++=little
is ^vbz+bez+aux++=is
known ^vpsv++agls+xvbnx+=known
about ^in++++=about
the ^ati++++=the
commonalities ^nns+nom+++=commonalities
and ^cc++++=and
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
formulaic ^jj+atrb+++=formulaic
language ^nn+nom+++=language
across ^in+pl+++=across
the ^ati++++=the
sections ^nns+nom+++=sections
of ^in++++=of
a ^at++++=a
research ^nn++++=research
article ^nn++++=article.
. ^zz++++=EXTRAWORD
Shahriari ^np+++??+=Shahriari
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
first ^rb++++=first
attempts ^vb++++=attempts
to ^to+vcmp+++=to
compare ^vbi++++=compare
lexical ^jj+atrb+++=lexical
bundles ^nns++++=bundles
across ^in+pl+++=across
the ^ati++++=the
Introduction ^nn+nom+++=Introduction,
, ^zz++++=EXTRAWORD
Method ^nn++++=Method,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Results ^nns++++=Results
sections ^nns+nom+++=sections
of ^in++++=of
research ^nn++++=research
articles ^nns++++=articles
published ^vbd+++xvbn+=published
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
applied ^jj+atrb++xvbn+=applied
linguistics ^nn++++=linguistics
. ^zz++++=.
The ^ati++++=The
study ^nn++++=study
shows ^vbz+vprv+++=shows
considerable ^jj++++=considerable
in ^in++++=in-text
- ^zz++++=EXTRAWORD
text ^nn++++=EXTRAWORD
variation ^nn+nom+++=variation
within ^in++++=within
these ^dt+dem+++=these
three ^cd++++=three
sections ^nns+nom+++=sections
a ^at++++=a
promising ^jj+atrb+++=promising
aspect ^nn++++=aspect
for ^in++++=for
further ^jjb+atrb+++=further
investigation ^nn+nom+++=investigation
that ^tht+rel+subj++=that
will ^md+prd+++=will
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbn+=taken
up ^rb+phrv+++=up
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
