In ^rb++++=In
sum ^rb"++++=sum,
, ^zz++++=EXTRAWORD
Haumann ^np+++??+=Haumann
( ^zz++++=(2003
2003 ^cd++++=EXTRAWORD
, ^zz++++=,
2010 ^cd++++=2010
) ^zz++++=)
sees ^vbz+vprv+++=sees
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^ql++++=as
instances ^nns+nom+++=instances
of ^in++++=of
true ^jj+atrb+++=true
postposition ^nn+nom+++=postposition,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
in ^in++++=in
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
adjective ^nn++++=adjective
is ^vbz+bez+vrb++=is
falsely ^rb++++=falsely
postposed ^jj+pred+++=postposed.
. ^zz++++=EXTRAWORD
