[ ^zz++++=[
n ^zz++++=n
4 ^zz++++=4
211 ^cd++++=211],
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
referring ^vbg+++xvbgx+=referring
to ^in++++=to
coconut ^nn++++=coconut
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
British ^jj+atrb+++=British
Nutrition ^nn+nom+++=Nutrition
Association ^nn+nom+++=Association,
, ^zz++++=EXTRAWORD
in ^in++++=in
October ^nr++++=October
2016 ^cd++++=2016
recommended ^vbd+vsua++xvbn+=recommended
the ^ati++++=the
low ^jj+atrb+++=low
consumption ^nn+nom+++=consumption
of ^in++++=of
coconut ^nn++++=coconut
oil ^nn++++=oil
as ^ql++++=as
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
high ^jj++++=high
in ^in++++=in
saturated ^vpsv++agls+xvbn+=saturated
fats ^nns+++??+=fats
and ^cc++++=and
so ^rb++++=so
far ^rb+pl+++=far
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
evidence ^nn+nom+++=evidence
of ^in++++=of
its ^pp$+it+++=its
health ^nn++++=health
benefits ^nns++++=benefits
https ^nns+++??+=https://www.nutrition.org.uk/attachments/article/998/Coconut
: ^zz++++=EXTRAWORD
Like ^in++++=Like
with ^in++++=with
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
moderation ^nn+nom+++=moderation
is ^vbz+bez+vrb++=is
best ^jjt+pred+++=best.
. ^zz++++=EXTRAWORD
reply ^nn++++=Reply
5 ^zz++++=5
user ^nn++++=User
n4 ^nn++++=n4
211 ^cd++++=211
