Our ^pp$+pp1+++=Our
central ^jj+atrb+++=central
explanatory ^jj+atrb+++=explanatory
variable ^nn++++=variable
is ^vbz+bez+vrb++=is
migration ^nn+nom+++=migration
status ^nn++++=status
, ^zz++++=,
distinguishing ^jj+++xvbg+=distinguishing
between ^in++++=between
three ^cd++++=three
migrant ^jj+atrb+++=migrant
generations ^nns+nom+++=generations
( ^zz++++=(
Rumbaut ^np++++=Rumbaut,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
) ^zz++++=):
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
First ^od++++=First-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrant ^jj++++=migrant:
: ^zz++++=EXTRAWORD
an ^at++++=an
individual ^nn+nom+++=individual
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
born ^vbd+++xvbn+=born
in ^in++++=in
the ^ati++++=the
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
b ^zz++++=b)
) ^zz++++=EXTRAWORD
Second ^od++++=Second-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrant ^jj++++=migrant:
: ^zz++++=EXTRAWORD
an ^at++++=an
individual ^nn+nom+++=individual
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
the ^ati++++=the
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
has ^vbz+hvz+vrb++=has
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
parent ^nn++++=parent
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
also ^rb++++=also
refer ^vb++++=refer
to ^in++++=to
this ^dt+dem+++=this
group ^nn++++=group
as ^ql++++=as
descendants ^nns+nom+++=descendants
of ^in++++=of
first ^od++++=first-generation
- ^zz++++=EXTRAWORD
generation ^nn+nom+++=EXTRAWORD
migrants ^nns+nom+++=migrants.
. ^zz++++=EXTRAWORD
c ^zz++++=c)
) ^zz++++=EXTRAWORD
Nonmigrant ^np+nom++??+=Nonmigrant:
: ^zz++++=EXTRAWORD
an ^at++++=an
individual ^nn+nom+++=individual
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
the ^ati++++=the
U.s ^np++++=U.S.
. ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
parents ^nns++++=parents
are ^vb+ber+vrb++=are
also ^rb++++=also
both ^abx++++=both
native ^jj++++=native-born.
- ^zz++++=EXTRAWORD
born ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sometimes ^rb++++=sometimes
refer ^vb++++=refer
to ^in++++=to
this ^dt+dem+++=this
group ^nn++++=group
as ^in++++=as
native ^jj++++=native-born
- ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=EXTRAWORD
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
