On ^in++++=On
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Ana ^np+++??+=ANA
and ^cc++++=and
Aan ^np+++??+=AAN
constructions ^nns+nom+++=constructions
the ^ati++++=the
asyndetic ^jj+atrb+++=asyndetic
schema ^nn++++=schema
in ^rb++++=in
general ^rb"++++=general
preferred ^vbd+++xvbn+=preferred
hierarchical ^jj+atrb+++=hierarchical
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
also ^rb++++=also
sanctioned ^vbd+++xvbn+=sanctioned
separate ^nn+nom+++=separate
modification ^nn+nom+++=modification,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^in++++=as
( ^zz++++=(51)
51 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(52).
52 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
